Biomass,Starch crops,Sugar crop,Oil crops,Perennial energy crops (SRC),Short rotary forestry (SRF),Forestry residues,Agricultural residues
1992,22060,31875.5,818.8,57231.6,19386.7,3913.2,16557.1
1993,19500,30099.9,865,58495,17740.4,4032.4,14575.4
1994,19960,28169.1,883.7,57164.3,19225.3,4722,14902.1
1995,21870,26949.6,917.4,54168.6,21527.9,4858.7,16367.1
1996,24590,31616,876,53119.1,22794.2,4469.4,18401.6
1997,23534,32870.3,899.1,53623.2,21329.8,4669.5,17666
1998,22767,30394.1,923.2,50979.6,24269.3,4516.6,16961.4
1999,22125,32805.6,840.8,50698.1,24098.2,4615.4,16503.6
2000,23989,27764.6,754.5,49759.7,22593.1,4622.6,17812.2
2001,18959,27184.9,769.5,49738.6,17439.1,4672.2,14304.4
2002,22965,29754.6,729,49049.3,16605.2,4616.9,17054.4
2003,21511,28946.5,643.8,47825.7,18520.6,4774.3,16068.9
2004,22029,28547.2,654.6,48053.3,18769.7,4915.1,16338.1
2005,21001,28648.7,670.3,43643.8,23857.4,5038.6,15560
2006,20838,26035,624.7,48250.2,18492.8,4963,15438.2
2007,19130.1,25071.6,619.7,51535.8,13571.1,5311.1,14218.4
2008,24282.9,26868.3,596,48651.8,15063.4,5022,17985.8
2009,21618.3,28611.3,590.9,49757.7,12478.4,5092.3,16188.7
2010,20946.2,26248.4,612.7,50189.5,12315.2,5729.7,15511.9
2011,21484.3,30619.5,601.3,51584.4,10384.9,5906.5,15910.8
2012,19515.2,26145.3,631.4,51092,11013.4,5963,14536.2
2013,20083.4,28388.8,632.4,56498.7,5359.8,6371,15201.1
2014,24468,31193.5,755.6,58848.2,3463,6583,18228.3
2015,24734,26245.7,705.7,59393.9,3004.6,6230.6,18474.4
2016,21964.1,23327.8,700.6,58299.5,4861.9,6469,16436.3
2017,23000.1,30525.4,726.7,60251.9,3188.7,6520,17242.9
2018,21084.6,26174.7,700,61696.8,681.2,6603,15813.4
2019,25517.3,26204.6,621.9,63141.7,0,6339.1,19163
2020,18962,21688.9,623.3,64586.6,0,5840.4,14575.9
2021,22369.1,23866.2,651.9,66031.5,0,6073.3,16831.7
