Biomass,Starch crops,Sugar crop,Oil crops,Perennial energy crops (SRC),Short rotary forestry (SRF),Forestry residues,Agricultural residues,Planters_Miscanthus,Planters_Perrenial,usage_willow,usage_miscanthus,usage_straw,Imp_Food crops,Imp_Agric residue,Imp_Perennial energy crops,Imp_Short rotation forestry,Exp_Food crops,Exp_Agric residue,Exp_Perennial energy crops,Exp_Short rotation forestry
2009,21618.3,28611.3,590.9,49757.7,12478.4,5092.3,16188.7,335,373,15993,44537,214616,17650.1,59.9,5770.2,3991.7,6764.6,10,756.5,2096.8
2010,20946.2,26248.4,612.7,50189.5,12315.2,5729.7,15511.9,394,381,14853,40580,195661,17286.5,41,6680,4061.8,7969.1,11.4,1304.5,2275.5
2011,21484.3,30619.5,601.3,51584.4,10384.9,5906.5,15910.8,404,251,13927,31260,214690,17223.3,46.4,6733.8,4294.3,6968.4,18.3,1448.2,2511.7
2012,19515.2,26145.3,631.4,51092,11013.4,5963,14536.2,398,228,8524,47414,230229,18835.6,81.5,7251.8,4226.2,6198.6,29.6,1937.3,2503.6
2013,20083.4,28388.8,632.4,56498.7,5359.8,6371,15201.1,422,186,6666,21974,208455,21674.1,45.2,9603.8,4332.4,5036.2,60.9,1760.2,2576
2014,24468,31193.5,755.6,58848.2,3463,6583,18228.3,393,230,15316,32749,403854,20215.9,39.4,11864.1,4269.8,6026.8,23.1,1640.1,2760.2
2015,24734,26245.7,705.7,59393.9,3004.6,6230.6,18474.4,569,182,9468,34916,560161,19108.1,34.5,13017.2,4126.3,7298.5,17.6,1401.8,2748
2016,21964.1,23327.8,700.6,58299.5,4861.9,6469,16436.3,409,361,9331,54916,727374,19352.5,26,14001.5,4237.1,8396.1,39.3,1099,2757.4
2017,23000.1,30525.4,726.7,60251.9,3188.7,6520,17242.9,361,437,25887,40005,737109,21415.7,39.4,13884.7,4391.8,5288.2,27.8,1176.9,3033.1
2018,21084.6,26174.7,700,61696.8,681.2,6603,15813.4,787,379,28200,48800,625166,20718.9,70.7,15074,4626.2,4870.9,34.8,1066.7,3141.5
2019,25517.3,26204.6,621.9,63141.7,0,6339.1,19163,767,305,7340,33131,887884,20680.3,68.2,16579.8,4553.1,6422.9,31.9,1035,3432
