Biomass,Food crops,Agricultural residue,Perennial energy crops,Short rotation forestry
2000,8987.6,21.2,871.3,1736.3
2001,5516.2,0.5,958.9,1204
2002,6025.1,0.3,1031.5,1451
2003,8840.7,1.3,1546.4,1696.5
2004,6947.9,2.4,1418.5,1785.7
2005,6990.8,1.5,1562.2,2041.2
2006,6319.4,3.3,1797.8,2028.6
2007,5771.8,8.9,2109.4,1961.9
2008,6709.6,12.9,1423.2,2044.9
2009,6764.6,10,756.5,2096.8
2010,7969.1,11.4,1304.5,2275.5
2011,6968.4,18.3,1448.2,2511.7
2012,6198.6,29.6,1937.3,2503.6
2013,5036.2,60.9,1760.2,2576
2014,6026.8,23.1,1640.1,2760.2
2015,7298.5,17.6,1401.8,2748
2016,8396.1,39.3,1099,2757.4
2017,5288.2,27.8,1176.9,3033.1
2018,4870.9,34.8,1066.7,3141.5
2019,6422.9,31.9,1035,3432
2020,5447.7,31.2,739.1,3234.6
2021,3467.2,13.4,1139.7,2318.3
