Ex_Biomass,Food crops,Agricultural residue,Perennial energy crops,Short rotation forestry
2000,8987.6,21.2,871.3,1736.3
2001,8293.32,17.06,888.82,1629.84
2002,7839.676,13.708,917.356,1594.072
2003,8039.8808,11.2264,1043.1648,1614.5576
2004,7821.48464,9.46112,1118.23184,1648.78608
2005,7655.347712,7.868896,1207.025472,1727.268864
2006,7388.1581696,6.9551168,1325.1803776,1787.5350912
2007,7064.88653568,7.34409344,1482.02430208,1822.40807296
2008,6993.829228544,8.455274752,1470.259441664,1866.906458368
2009,6947.9833828352,8.7642198016,1327.5075533312,1912.8851666944
2010,7152.20670626816,9.29137584128,1322.90604266496,1985.40813335552
2011,7115.44536501453,11.093100673024,1347.96483413197,2090.66650668442
2012,6932.07629201162,14.7944805384192,1465.83186730557,2173.25320534753
2013,6552.9010336093,24.0155844307354,1524.70549384446,2253.80256427803
2014,6447.68082688744,23.8324675445883,1547.78439507557,2355.08205142242
2015,6617.84466150995,22.5859740356706,1518.58751606045,2433.66564113794
2016,6973.49572920796,25.9287792285365,1434.67001284836,2498.41251291035
2017,6636.43658336637,26.3030233828292,1383.11601027869,2605.35001032828
2018,6283.3292666931,28.0024187062634,1319.83280822295,2712.58000826262
2019,6311.24341335448,28.7819349650107,1262.86624657836,2856.4640066101
2020,6138.53473068358,29.2655479720086,1158.11299726269,2932.09120528808
2021,5604.26778454686,26.0924383776068,1154.43039781015,2809.33296423046
2022,5776.72604581931,24.5248597929946,1189.21886370267,2714.18273502073
2023,5314.82083665545,22.2998878343956,1179.31509096213,2635.00618801659
2024,5545.16848750618,21.4908193584256,1209.12661822425,2574.72131404963
2025,5129.57479000494,19.8726554867405,1195.2412945794,2523.43705123971
2026,5396.97165018577,19.5490334803015,1221.86758111807,2485.46600462813
2027,5011.01732014862,18.3192267842412,1205.43406489445,2452.0328037025
2028,5302.12567430071,18.306290518302,1230.02179737011,2428.34260659837
2029,4935.14053944057,17.3250324146416,1211.95743789609,2406.33408527869
2030,5241.42424973427,17.5109350226224,1235.24049577141,2391.78363185932
2031,4886.57939978742,16.6887480180979,1216.13239661713,2377.08690548745
2032,5202.57533801175,17.0019075053874,1238.58046274825,2368.38588802633
2033,4855.5002704094,16.2815260043099,1218.8043701986,2358.36871042106
2034,5177.71203450934,16.676129894357,1240.71804161343,2353.41133197321
2035,4835.60962760747,16.0209039154856,1220.51443329074,2346.38906557857
2036,5161.7995202678,16.4676322232976,1242.08609208714,2343.82761609922
2037,4822.87961621424,15.8541057786381,1221.60887366971,2338.72209287938
2038,5151.61551115321,16.3341937138196,1242.96164439031,2337.69403793986
2039,4814.73240892257,15.7473549710556,1222.30931551225,2333.81523035189
2040,5145.09774531987,16.2487930677536,1243.52199786435,2333.76854791788
2041,4809.5181962559,15.6790344542029,1222.75759829148,2330.6748383343
2042,5140.92637518654,16.1941366542714,1243.88062408773,2331.25623430381
2043,4806.18110014923,15.6353093234171,1223.04449927018,2328.66498744304
2044,5138.2566983012,16.1591565496428,1244.11014487069,2329.6483535908
2045,4804.04535864096,15.6073252397142,1223.22811589655,2327.37868287264
2046,5136.54810509459,16.1367692826805,1244.25703817179,2328.61930993447
2047,4802.67848407567,15.5894154261444,1223.34563053743,2326.55544794758
2048,5135.45460544235,16.1224414318246,1244.35104988449,2327.96072199443
2049,4801.80368435388,15.5779531454597,1223.42083990759,2326.02857759554
2050,5134.75476566493,16.1132716072768,1244.41121738062,2327.5392257128
