Im_Biomass,Food crops,Agricultural residue,Perennial energy crops,Short rotation forestry
2000,14860.6,47,7803.1,2906.5
2001,15314.34,47.6,7860.76,2911.56
2002,15722.652,46.86,8027.628,2936.848
2003,16046.2016,50.168,8238.9224,3042.7384
2004,16247.04128,73.3944,8410.85792,3156.77072
2005,16467.573024,82.85552,8503.686336,3259.156576
2006,16646.7584192,92.184416,8405.4290688,3374.1052608
2007,16952.74673536,94.5275328,8306.54325504,3507.40420864
2008,17295.377388288,95.96202624,7923.214604032,3614.543366912
2009,17366.3219106304,88.749620992,7492.6116832256,3689.9746935296
2010,17350.3575285043,79.1996967936,7330.08934658048,3764.33975482368
2011,17324.9460228035,72.63975743488,7210.83147726438,3870.33180385894
2012,17627.0768182428,74.411805947904,7219.02518181151,3941.50544308716
2013,18436.4814545942,68.5694447583232,7695.98014544921,4019.68435446972
2014,18792.3651636754,62.7355558066586,8529.60411635937,4069.70748357578
2015,18855.5121309403,57.0884446453268,9427.12329308749,4081.02598686062
2016,18954.9097047522,50.8707557162615,10341.99863447,4112.2407894885
2017,19447.0677638018,48.5766045730092,11050.538907576,4168.1526315908
2018,19701.4342110414,53.0012836584073,11855.2311260608,4259.76210527264
2019,19897.2073688331,56.0410269267259,12800.1449008486,4318.42968421811
2020,20196.8258950665,57.9928215413807,13447.8759206789,4288.28374737449
2021,20105.7607160532,60.5742572331046,14162.5807365431,4217.64699789959
2022,19817.2467546608,62.2348603319382,13398.08004378,4162.80214377422
2023,19802.0974037286,63.9678882655506,14122.744035024,4117.26171501938
2024,19574.3161048011,64.949765157895,13366.2106825646,4082.49391747005
2025,19607.7528838409,66.139812126316,14097.2485460517,4053.01513397604
2026,19418.8404888909,66.6873042465073,13345.8142913868,4031.09665263537
2027,19483.3723911127,67.5298433972059,14080.9314331095,4011.8973221083
2028,19319.3360947083,67.7993292632192,13332.760601033,3998.20240314119
2029,19403.7688757667,68.4194634105754,14070.4884808264,3985.58192251295
2030,19255.6532824315,68.5110252739149,13324.4062392066,3977.1500834649
2031,19352.8226259452,68.9888202191319,14063.8049913653,3968.74006677192
2032,19214.8962825744,68.9665107207601,13319.0594476377,3963.67659887208
2033,19320.2170260595,69.353208576608,14059.5275581101,3957.96127909767
2034,19188.8118026658,69.258021406741,13315.6375010336,3955.05356873268
2035,19299.3494421326,69.5864171253928,14056.7900008269,3951.06285498614
2036,19172.1177355243,69.4445882457688,13313.4474552069,3949.53482944346
2037,19285.9941884194,69.735670596615,14055.0379641655,3946.64786355477
2038,19161.4335325537,69.5639910227466,13312.0458258779,3946.00283629836
2039,19277.446826043,69.8311928181973,14053.9166607023,3943.82226903869
2040,19154.5956426526,69.6404088000124,13311.1487831073,3943.7423606855
2041,19271.9765141221,69.8923270400099,14053.1990264858,3942.0138885484
2042,19150.2193931158,69.6893161774625,13310.5746757341,3942.29565629326
2043,19268.4755144927,69.93145294197,14052.7397405873,3940.85652503461
2044,19147.4185934123,69.7206168990305,13310.2072470153,3941.36976548223
2045,19266.2348747298,69.9564935192244,14052.4457976122,3940.11581238579
2046,19145.6260816021,69.7406493608341,13309.9720926352,3940.77719536318
2047,19264.8008652816,69.9725194886673,14052.2576741082,3939.64175629054
2048,19144.4788740435,69.7534701363884,13309.821593832,3940.39795048698
2049,19263.8830992348,69.9827761091107,14052.1372750656,3939.33836038958
2050,19143.744661206,69.7616754327431,13309.7252745979,3940.15523376621
