Biomass,Starch crops,Sugar crop,Oil crops,Perennial energy crops (SRC),Short rotary forestry (SRF),Forestry residues ,Agricultural residues,Planters_Miscanthus,Planters_Perrenial,usage_willow,usage_miscanthus,usage_straw,Imp_Food crops,Imp_Agric residue,Imp_Perennial energy crops,Imp_Short rotation forestry,Exp_Food crops,Exp_Agric residue,Exp_Perennial energy crops,Exp_Short rotation forestry,
2009,21618.3,28611.3,590.9,49757.7,12478.4,5092.3,16188.7,335,373,15993,44537,214616,17650.1,59.9,5770.2,3991.7,6764.6,10,756.5,2096.8,
2010,20946.2,26248.4,612.7,50189.5,12315.2,5729.7,15511.9,394,381,14853,40580,195661,17286.5,41,6680,4061.8,7969.1,11.4,1304.5,2275.5,
2011,21484.3,30619.5,601.3,51584.4,10384.9,5906.5,15910.8,404,251,13927,31260,214690,17223.3,46.4,6733.8,4294.3,6968.4,18.3,1448.2,2511.7,
2012,19515.2,26145.3,631.4,51092,11013.4,5963,14536.2,398,228,8524,47414,230229,18835.6,81.5,7251.8,4226.2,6198.6,29.6,1937.3,2503.6,
2013,20083.4,28388.8,632.4,56498.7,5359.8,6371,15201.1,422,186,6666,21974,208455,21674.1,45.2,9603.8,4332.4,5036.2,60.9,1760.2,2576,
2014,24468,31193.5,755.6,58848.2,3463,6583,18228.3,393,230,15316,32749,403854,20215.9,39.4,11864.1,4269.8,6026.8,23.1,1640.1,2760.2,
2015,24734,26245.7,705.7,59393.9,3004.6,6230.6,18474.4,569,182,9468,34916,560161,19108.1,34.5,13017.2,4126.3,7298.5,17.6,1401.8,2748,
2016,21964.1,23327.8,700.6,58299.5,4861.9,6469,16436.3,409,361,9331,54916,727374,19352.5,26,14001.5,4237.1,8396.1,39.3,1099,2757.4,
2017,23000.1,30525.4,726.7,60251.9,3188.7,6520,17242.9,361,437,25887,40005,737109,21415.7,39.4,13884.7,4391.8,5288.2,27.8,1176.9,3033.1,
2018,21084.6,26174.7,700,61696.8,681.2,6603,15813.4,787,379,28200,48800,625166,20718.9,70.7,15074,4626.2,4870.9,34.8,1066.7,3141.5,
2019,25517.3,26204.6,621.9,63141.7,0,6339.1,19163,767,305,7340,33131,887884,20680.3,68.2,16579.8,4553.1,6422.9,31.9,1035,3432,
Average in 10 years,22219.5909090909,27607.7272727273,661.745454545455,56432.2090909091,6068.28181818182,6164.29090909091,16609.7272727273,476.272727272727,301.181818181818,14136.8181818182,39116.5454545455,455018.090909091,19469.1818181818,50.2,10950.9909090909,4282.79090909091,6476.39090909091,27.7,1329.65454545455,2712.34545454545,
Base Case,66658.7727272727,82823.1818181818,1985.23636363636,169296.627272727,18204.8454545455,18492.8727272727,49829.1818181818,1428.81818181818,903.545454545455,42410.4545454545,117349.636363636,1365054.27272727,58407.5454545455,150.6,32852.9727272727,12848.3727272727,19429.1727272727,83.1,3988.96363636364,8137.03636363636,
,,,,,,,,,,,,,,,,,,,,,
,,DOMESTIC EXTRACTION,,,,,,,PLANTERS,,USAGE,,,IMPORTATION,,,,EXPORTATION,,,
,Correlations,Starch crops,Sugar crop,Oil crops,Perennial energy crops (SRC),Short rotary forestry (SRF),Forestry residues ,Agricultural residues,Planters_Miscanthus,Planters_Perrenial,usage_willow,usage_miscanthus,usage_straw,Imp_Food crops,Imp_Agric residue,Imp_Perennial energy crops,Imp_Short rotation forestry,Exp_Food crops,Exp_Agric residue,Exp_Perennial energy crops,Exp_Short rotation forestry
DOMESTIC EXTRACTION,Starch crops,1,,,,,,,,,,,,,,,,,,,
,Sugar crop,0.128696170388172,1,,,,,,,,,,,,,,,,,,
,Oil crops,0.430817418193712,0.0973496266117505,1,,,,,,,,,,,,,,,,,
,Perennial energy crops (SRC),0.636115299465392,-0.117262625672959,0.660080758062506,1,,,,,,,,,,,,,,,,
,Short rotary forestry (SRF),-0.616560332496537,0.0964076722951489,-0.654228936943007,-0.995609606277575,1,,,,,,,,,,,,,,,
,Forestry residues ,0.318714989166332,-0.0474392705250576,0.764635160656917,0.834882081993311,-0.841925917283524,1,,,,,,,,,,,,,,
,Agricultural residues,0.997717113494393,0.118815410560684,0.435547295271191,0.668593516909134,-0.649888022658741,0.339673886199524,1,,,,,,,,,,,,,
PLANTERS,Planters_Perenial,0.366052878899098,-0.382905983473722,0.0972164155621216,0.677493635308224,-0.697179218158514,0.41857280504089,0.38562016008766,1,,,,,,,,,,,,
,Planters_Miscanthus,-0.0618237008782748,-0.109316580021224,0.033059904553484,0.0431768614462897,0.0257696579801568,-0.107512240125219,-0.062665938885426,-0.00433995863413024,1,,,,,,,,,,,
USAGE,usage_willow,-0.0550633144432624,0.324728904118686,0.372105289016797,0.189334917553435,-0.174282718357206,0.157633909514467,-0.0594817213331916,0.118937689179833,0.670117569761936,1,,,,,,,,,,
,usage_miscanthus,-0.237418160051728,-0.574582862225543,0.142846211187575,-0.0792524917373866,0.125639294090806,-0.0977930118877926,-0.248803594152406,0.0136808486436092,0.59317013272809,0.319418862386119,1,,,,,,,,,
,usage_straw,0.648979209327384,-0.312479722958105,0.515137691231778,0.87214969989145,-0.82813362813345,0.623660582817251,0.671027300232677,0.590041603876826,0.34153350242532,0.182613388323634,0.246204991558447,1,,,,,,,,
IMPORTATION,Imp_Food crops,0.234737077022967,0.0730118086443234,0.54802122354022,0.795484038543778,-0.804130833849291,0.780074676193975,0.286986160002412,0.372080766847185,-0.0351510834586033,0.154791885381701,-0.242902171463035,0.553676918415294,1,,,,,,,
,Imp_Agric residue,-0.279361978073338,-0.0911465663788932,-0.414238739200043,-0.10185274909644,0.0788750588101566,-0.218346162106153,-0.269055015210955,0.411371571757708,-0.0110990851669911,0.0718347864582165,0.151193638099368,-0.0950507874533184,0.0248638040531983,1,,,,,,
,Imp_Perennial energy crops,0.619752127311231,-0.269041705410502,0.636128160597123,0.978405969731271,-0.960077104917332,0.800757822506378,0.648699150892549,0.684906851700813,0.154820368617005,0.179063821373059,0.0921171450634427,0.941642787634886,0.719435773943219,-0.098170377792018,1,,,,,
,Imp_Short rotation forestry,0.177690926530472,-0.0056810540861075,0.279950530817869,0.745533484977212,-0.756735983683921,0.718220056097376,0.206235667287461,0.724993637990115,0.108865150931917,0.321652136249951,-0.0819852958582569,0.60578044858598,0.696169153500465,0.3475387365737,0.716077173727134,1,,,,
EXPORTATION,Exp_Food crops,0.118262725176761,-0.460522160802067,-0.214586855268762,-0.365424779870714,0.405491629880001,-0.380279039716569,0.0800811957276159,-0.267385527405864,0.0618375909835049,-0.433097144331142,0.328064414212162,-0.0521485027729575,-0.708372997201913,-0.449935369794552,-0.229504353900373,-0.619207606482686,1,,,
,Exp_Agric residue,-0.247913434445179,-0.193833517628848,0.154710406645782,0.427599513848986,-0.453639834192969,0.597846550968382,-0.195933455460383,0.200912944814054,-0.251241799104313,-0.232475568332312,-0.21943508516826,0.199245976163024,0.745845212807138,0.0219143096922619,0.379038453333491,0.534692361767275,-0.468187263150733,1,,
,Exp_Perennial energy crops,-0.308485539139831,0.186936208740978,0.0936546736192928,-0.186909499813156,0.139536520274295,0.251063075833025,-0.316792077644156,-0.267157004241148,-0.732515047951774,-0.39865598429471,-0.399413528478705,-0.452409096245519,0.114272813991659,0.0515817388594018,-0.273077939398801,-0.0454602412095298,-0.207067809309207,0.333080997507807,1,
,Exp_Short rotation forestry,0.56192157783693,-0.125718373087861,0.474105881668531,0.927548670673086,-0.915709371456891,0.77999200853082,0.586788159283534,0.752376309809167,0.106598604260011,0.193217697579838,-0.0385514447006743,0.876390289632672,0.710898795539974,0.135958677499504,0.930036246638745,0.87481077488075,-0.380730912340634,0.376836993064419,-0.157159227459605,1
