,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscanthus,7465,9213,8657,8075,7517,7078,7012,6905,7057,7366,7149,8171,8286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willows/Poplar (SRC),6216,3721,2591,2720,2551,2650,2849,2885,2926,2966,2826,2233,2032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of planters,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,,,,,,,,
Miscanthus,335,394,404,398,422,393,569,409,361,787,767,731,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708,513.692307692308,708
Willows/Poplar (SRC),373,381,251,228,186,230,182,361,437,379,305,271,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306,299.230769230769,306
