Cities,Lat,Lon,Region,size1,size2
Liverpool,53.4084,-2.9916,North_West,30,60
Manchester,53.4831,-2.2444,North_West,20,50
Chester,53.1934,-2.8931,North_West,30,60
Lancaster,54.0479,-2.8016,North_West,20,50
Newcastle upon Tyne,54.9716,-1.6174,North_East,10,80
Sunderland,54.9069,-1.3838,North_East,10,70
Durham,54.7734,-1.5764,North_East,10,80
Middlesbrough,54.5743,-1.2347,North_East,10,70
Leeds,53.8008,-1.5491,Yorkshire_and_Humber,100,120
Sheffield,53.3831,-1.4648,Yorkshire_and_Humber,90,110
York,53.9591,-1.0815,Yorkshire_and_Humber,100,120
Hull,53.7457,-0.3367,Yorkshire_and_Humber,90,110
Birmingham,52.4862,-1.8904,West_Midlands,80,40
Coventry,52.4068,-1.5197,West_Midlands,70,30
Wolverhampton,52.5862,-2.1288,West_Midlands,80,40
Stoke,53.0027,-2.1794,West_Midlands,70,30
Nottingham,52.9548,-1.1581,East_Midlands,120,140
Leicester,52.6369,-1.1398,East_Midlands,110,130
Derby,52.9228,-1.4762,East_Midlands,120,140
Lincoln,53.2344,-0.5386,East_Midlands,110,130
Cambridge,52.2043,0.1145,East,40,60
Norwich,52.6309,1.2974,East,30,50
Ipswich,52.0567,1.1482,East,40,60
Peterborough,52.5691,0.2405,East,30,50
London,51.5074,-0.1278,South_East,40,100
Brighton,50.8225,-0.1372,South_East,30,90
Oxford,51.752,-1.2577,South_East,40,100
Reading,51.4543,-0.9781,South_East,30,90
Bristol,51.4545,-2.5879,South_West,60,40
Plymouth,50.3755,-4.1427,South_West,50,30
Exeter,50.7184,-3.5339,South_West,60,40
Bath,51.3813,-2.359,South_West,50,30
