Region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
North East,0,0,0,0,0,0,0,0,0,16,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
North West,0,0,70,0,0,0,0,0,0,100,0,0,0,13,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Yorkshire,0,0,2100,0,0,2039,0,0,1779,1598,1614,1910,0,849,764,773,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772,772
East Midlands,0,0,2503,0,0,1925,0,0,2100,1891,1922,2183,0,963,867,877,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876,876
West Midlands,0,0,1013,0,0,358,0,0,1693,1345,1239,1207,0,527,474,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479,479
East of England,0,0,642,0,0,660,0,0,209,528,513,670,0,248,223,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
South East,0,0,366,0,0,0,0,0,0,461,441,534,0,139,125,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
South West,0,0,1964,0,0,1567,0,0,962,1427,1301,1527,0,673,606,613,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612,612
England,7465,9213,8657,8075,7517,7078,7012,6905,7057,7366,7149,8171,8286,7689,7749,7743,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744,7744
Number of growers,335,394,404,398,422,393,569,409,361,787,767,731,708,514,533,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,2008-2020,2021-2035,2036-2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West,13,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yorkshire,849,777,772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Midlands,963,881,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Midlands,527,482,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,248,227,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South East,139,127,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South West,673,616,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,7689,7741,7744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
